,Sequence,Z0,Z1
292,ABBBBBBAAAABBAAAAAAA,2.001318,9.54139
293,ABBBBBBABBAAAAAAAAAA,1.8799917,9.624464
294,ABBBBBBBAABAAAAAAAAA,1.8365083,9.626032
295,BAAAAAAAAAABBBBBBABA,2.5829308,9.239525
296,BAAAAAAAAABBAABBBBBA,2.5916529,8.870055
297,BAAAAAAAABBABBBBAABA,3.9655466,8.08737
298,BAAAAAAABAAABBBABBBA,3.7408195,8.571531
299,BAAAAAABABAAAABBBBBA,6.231888,7.296769
300,BAAAAAABABBABABABBAA,4.8535604,8.784825
301,BAAAAAABABBBAABBBAAA,7.2640634,7.9015713
302,BAAAAAABBAABABBBBAAA,7.2524233,7.876037
303,BAAAAAABBABAAABBBBAA,9.019976,8.780724
304,BAAAAAABBBAAAABABBBA,7.7894034,8.185184
305,BAAAAAABBBABBBAABAAA,5.916457,7.421214
306,BAAAAAABBBBAAAAABBBA,7.229034,7.952444
307,BAAAAABAAABABABABBBA,6.0409284,7.006415
308,BAAAAABAAABBAABBBABA,6.4485598,6.476132
309,BAAAAABAABAABAABBBBA,5.374811,5.896831
310,BAAAAABAABAABBAABBBA,6.2320614,6.0585527
311,BAAAAABABAABABBAABBA,6.564314,4.968864
312,BAAAAABBAABBBAAAABBA,10.048868,9.474027
313,BAAAAABBABBAABABABAA,8.340028,7.5853233
314,BAAAAABBBAAABBABBAAA,9.381871,8.992448
315,BAAAABAAAAABBBBAABBA,6.290459,6.837452
316,BAAAABAAAABBBBAABABA,6.36965,5.8083377
317,BAAAABAAAABBBBBAABAA,6.3534527,6.262464
318,BAAAABAAABAAAABBBBBA,5.954961,6.4176464
319,BAAAABAAABAABABBABBA,5.62308,5.752218
320,BAAAABAAABABBABBAABA,5.8823733,4.988694
321,BAAAABAABAABBBAABBAA,7.256881,5.5590315
322,BAAAABAABABAAABABBBA,6.498336,5.336224
323,BAAAABAABABBABABAABA,8.447244,2.958456
324,BAAAABAABBBABABABAAA,7.757286,7.789857
325,BAAAABABAAAABABBBABA,6.4424863,5.78615
326,BAAAABABAAABABABBABA,7.3238063,4.196844
327,BAAAABABABAAABABABBA,7.5276184,4.0952125
328,BAAAABABABBABAAABABA,7.6278076,4.064345
329,BAAAABABBAABBAAABBAA,8.917414,8.323679
330,BAAAABABBABBAAAABABA,8.153656,7.2148476
331,BAAAABABBABBABAABAAA,7.3775287,7.843276
332,BAAAABBAABAAABABABBA,7.1324224,5.0132885
333,BAAAABBAABBBBAAAAAAB,8.963917,8.817699
334,BAAAABBABAAABAABBABA,7.5834312,5.7109427
335,BAAAABBABBAAAABBBAAA,9.854946,9.353927
336,BAAAABBABBABAAABAABA,7.1023316,4.469691
337,BAAAABBBAABABAAAABBA,9.418133,8.991997
338,BAAAABBBAABBAAAABBAA,9.658044,9.22068
339,BAAAABBBBBAAABAAABAA,6.604888,6.3112884
340,BAAABAAAABABBBAAABBA,8.646813,8.386175
341,BAAABAAAABBABAABBABA,6.449891,5.264248
342,BAAABAAABAAABBBBABAA,6.135316,6.1090903
343,BAAABAAABAABAAABBBBA,7.258778,6.374279
344,BAAABAAABABABABAABBA,8.575773,2.793548
345,BAAABAAABBABAABAABBA,8.2154,3.7367392
346,BAAABAAABBBAAABABBAA,8.302335,5.734028
347,BAAABAAABBBBBAAAAAAB,7.839278,8.078355
348,BAAABAABAAABAABABBBA,5.7979116,5.5139523
349,BAAABAABAABAABAABBBA,7.9527903,3.7873037
350,BAAABAABAABABABABABA,9.509476,1.8237101
351,BAAABAABAABBAAABBABA,8.442912,5.4633627
352,BAAABAABAABBBAAABBAA,8.459974,5.6639194
353,BAAABAABABAABAABBABA,9.212512,2.151495
354,BAAABAABABAABBBAAABA,8.075077,3.916214
355,BAAABAABABBAABBABAAA,8.272096,7.397476
356,BAAABAABBAABAABABBAA,8.3632555,5.3759813
357,BAAABAABBAABAABBBAAA,8.195226,5.586493
358,BAAABAABBAABABAABBAA,8.3792095,3.750771
359,BAAABAABBABBAABABAAA,7.270469,4.316843
360,BAAABAABBBABAABAAABA,7.1927924,4.500745
361,BAAABAABBBBAABAAABAA,6.2120247,6.0513206
362,BAAABABAAABAABABBBAA,8.126599,5.385748
363,BAAABABAAABABAABABBA,8.549882,2.8577614
364,BAAABABAAABABBABABAA,7.912038,3.97962
365,BAAABABABAABBAABAABA,9.4994545,1.8385357
366,BAAABABABBAAABABBAAA,8.208706,7.3124385
367,BAAABABABBBBABAAAAAA,2.6495366,9.165511
368,BAAABABBAABBAABABAAA,7.2768283,4.1558294
369,BAAABABBBAAAAABABBAA,9.530459,9.097273
370,BAAABABBBAABABAAABAA,6.873307,4.424757
371,BAAABABBBABAABAAABAA,5.762512,5.1016445
372,BAAABABBBABBAABAAAAA,3.213739,9.002259
373,BAAABBAAAAABBABAABBA,9.798881,9.312864
374,BAAABBAAABABBAABBAAA,8.976427,8.488995
375,BAAABBAABAABBBAAAAAB,9.974484,9.448045
376,BAAABBAABABAAABBABAA,8.257944,4.03987
377,BAAABBAABABABBABAAAA,5.0298214,8.819044
378,BAAABBAABBAABABAAABA,8.468453,3.222488
379,BAAABBABABAAABAABABA,9.008007,2.3583534
380,BAAABBABABBAAABAAABA,7.2353377,4.079441
381,BAAABBABBAAABAAAABBA,8.833343,8.456047
382,BAAABBABBABBABAAAAAA,2.6279812,9.269862
383,BAAABBBAAAABAABBABAA,8.487255,8.028245
384,BAAABBBAAABABAAABBAA,8.504875,5.6215167
385,BAAABBBAABAABAABAAAB,8.444575,5.4904456
386,BAAABBBAABAABBAAABAA,7.3667355,5.0427036
